Date,suhu,kelembaban,matahari
15-07-2010,26.4,79,8
16-07-2010,27.5,79,0.5
17-07-2010,26.9,78,2.2
18-07-2010,26.4,84,0
19-07-2010,26.3,89,2.5
20-07-2010,27.5,78,3
21-07-2010,28.1,77,8
22-07-2010,27.1,73,5
23-07-2010,27.1,72,6.8
24-07-2010,26.4,73,7.8
25-07-2010,27.8,70,7.7
26-07-2010,28,79,0.8
27-07-2010,25,90,1.7
28-07-2010,26.4,86,0
29-07-2010,27.7,78,2
30-07-2010,28.2,73,7.4
31-07-2010,27.2,75,8
01-08-2010,27.9,69,6.1
02-08-2010,27.8,69,7.7
03-08-2010,27.8,74,6.8
04-08-2010,28.1,77,5
05-08-2010,28,80,0.9
06-08-2010,27.9,78,3.3
07-08-2010,27,78,1.7
08-08-2010,27,82,5
09-08-2010,27.6,76,4.7
10-08-2010,27.8,76,7.7
11-08-2010,29.5,83,6.8
12-08-2010,28.1,77,4.6
13-08-2010,28.1,79,5.2
14-08-2010,28.3,77,8
15-08-2010,28.1,78,7
16-08-2010,27.7,81,2.7
17-08-2010,28.1,76,4
18-08-2010,27.7,74,8
19-08-2010,27.8,68,6.3
20-08-2010,28,72,7.5
21-08-2010,26.8,85,5.6
22-08-2010,27.3,78,2.5
23-08-2010,26.1,87,7.5
24-08-2010,27.2,78,0.3
25-08-2010,27.6,80,5.7
26-08-2010,28.4,74,8
27-08-2010,27.9,80,7
28-08-2010,27.6,76,7.1
29-08-2010,27.5,75,4.9
30-08-2010,28.2,76,7.7
31-08-2010,28.1,75,8
01-09-2010,27.9,74,7.4
02-09-2010,27.5,77,7.5
03-09-2010,28.4,78,5
04-09-2010,28,74,7.8
05-09-2010,27.2,80,7.5
06-09-2010,25.5,93,0.1
07-09-2010,26.8,82,0
08-09-2010,26.1,86,7.9
09-09-2010,26.5,82,2.2
10-09-2010,26.8,81,6.8
11-09-2010,27.5,79,0.6
12-09-2010,27.3,81,6.1
13-09-2010,26.5,86,5.7
14-09-2010,26.9,84,3.6
15-09-2010,26.3,83,6.3
16-09-2010,27.6,77,0
17-09-2010,27.5,78,2.3
18-09-2010,27.9,76,6.8
19-09-2010,29.1,75,5.5
20-09-2010,28.2,81,3.3
21-09-2010,28.4,80,1
22-09-2010,27.5,83,0.8
23-09-2010,28.2,77,2
24-09-2010,27.8,79,6.2
25-09-2010,26.7,89,2.4
26-09-2010,27.9,82,0.9
27-09-2010,27.7,82,4.6
28-09-2010,27.8,78,4.4
29-09-2010,28.1,78,3.2
30-09-2010,28.3,80,6.7
01-10-2010,28.3,77,6.1
02-10-2010,29.5,74,5.2
03-10-2010,28.5,74,5.5
04-10-2010,28,78,1.2
05-10-2010,28.9,76,4
06-10-2010,28.5,78,2.9
07-10-2010,27.8,80,5.2
08-10-2010,27,82,4
09-10-2010,27.5,80,5
10-10-2010,28.5,62,2.2
11-10-2010,28.4,60,5.9
12-10-2010,28.6,67,7.6
13-10-2010,27.6,74,6.8
14-10-2010,28,80,2.5
15-10-2010,27.9,76,0.7
16-10-2010,26.7,81,1.9
17-10-2010,28.1,76,4.2
18-10-2010,26.3,87,7
19-10-2010,27,82,4.2
20-10-2010,26.7,86,6.6
21-10-2010,27,78,3.4
22-10-2010,28.7,76,3.7
23-10-2010,28.6,76,6.3
24-10-2010,27,82,5
25-10-2010,27.8,80,4.7
26-10-2010,28.7,76,3.6
27-10-2010,27.7,85,3
28-10-2010,27,85,4.3
29-10-2010,28.1,80,0.3
30-10-2010,27.3,81,7
31-10-2010,27.4,81,2.2
01-11-2010,28,76,0.9
02-11-2010,28,83,4.5
03-11-2010,27.3,84,3.7
04-11-2010,26.3,89,4
05-11-2010,27.7,80,3.5
06-11-2010,27.1,84,1.4
07-11-2010,26.6,89,3
08-11-2010,26.7,87,0
09-11-2010,26.7,85,1.8
10-11-2010,27.6,81,6
11-11-2010,28.4,78,3
12-11-2010,27.8,81,7
13-11-2010,26,90,8
14-11-2010,26.8,83,0
15-11-2010,27.1,83,5
16-11-2010,27.4,78,3.5
17-11-2010,27.3,84,4.8
18-11-2010,28.1,78,4
19-11-2010,28.9,78,6.5
20-11-2010,28.7,78,3.2
21-11-2010,27.1,84,2.8
22-11-2010,28.9,74,3.5
23-11-2010,28.2,80,7.8
24-11-2010,28.4,75,0.2
25-11-2010,27.5,81,4.4
26-11-2010,27.8,79,5.1
27-11-2010,27.3,84,2
28-11-2010,28.4,77,3
29-11-2010,27.7,82,6.3
30-11-2010,27,86,5
01-12-2010,27,85,5
02-12-2010,27.9,78,6.1
03-12-2010,27.9,81,4.5
04-12-2010,26.2,87,6
05-12-2010,27.3,85,1.4
06-12-2010,26.7,90,3
07-12-2010,26.3,88,0
08-12-2010,26.3,86,3.1
09-12-2010,27.4,84,4
